network,state,site_name,description,start,end,latitude,longitude,elev,county,site_id,Year,Month,Day,yearday,date,snow_water_equivalent,precipitation_cumulative,temperature_max,temperature_min,temperature_mean,precipitation,study_year,daymet_maxtemp,daymet_mintemp,daymet_precip,daymet_meantemp,swe_plus,prevday_swe,prevday_maxtemp,prevday_mintemp,prevday_meantemp,prevday_precip,prevday_cumulative_precip
SNTL,AK,kenai moose pens,Upper Moose River (190203021601),1982-10-01,2024-05-02,60.73,-150.48,91,Kenai Peninsula,966,2010,1,6,6,2010-01-06,43.2,119.4,0.6,-1.1,-0.1,2.5,30,-3.6,-7.08,0,-5.34,44.2,43.2,-5.4,-11.62,-8.51,0,119.4
SNTL,AK,anchor river divide,Headwaters Anchor River (190203010701),1980-10-01,2024-05-02,59.86,-151.32,504,Kenai Peninsula,1062,2010,1,6,6,2010-01-06,223.5,302.3,-0.5,-3.3,-1.6,2.5,30,2.2,-2.89,4.63,-0.345,224.5,223.5,3.37,-1.1,1.135,6.39,299.7
SNTL,AK,munson ridge,Rock Creek-Chena River (190803060602),1979-10-01,2024-05-02,64.85,-146.21,945,Fairbanks North Star,950,2010,1,7,7,2010-01-07,96.5,88.9,-4.9,-10,-7.2,0,30,-13.75,-16.98,0,-15.365,97.5,96.5,-8.55,-16.91,-12.73,0,88.9
SNTL,AK,kenai moose pens,Upper Moose River (190203021601),1982-10-01,2024-05-02,60.73,-150.48,91,Kenai Peninsula,966,2010,1,7,7,2010-01-07,43.2,121.9,1,-2.4,-0.2,0,30,-6.06,-13.45,0,-9.755,44.2,43.2,-3.6,-7.08,-5.34,0,119.4
SNTL,AK,anchor river divide,Headwaters Anchor River (190203010701),1980-10-01,2024-05-02,59.86,-151.32,504,Kenai Peninsula,1062,2010,1,7,7,2010-01-07,223.5,304.8,3.2,-4.9,-0.2,0,30,1.78,-2.21,0,-0.21499999999999997,224.5,223.5,2.2,-2.89,-0.345,4.63,302.3
SNTL,AK,munson ridge,Rock Creek-Chena River (190803060602),1979-10-01,2024-05-02,64.85,-146.21,945,Fairbanks North Star,950,2010,1,8,8,2010-01-08,96.5,88.9,-8.7,-21.8,-17,0,30,-9.1,-17.14,0,-13.12,97.5,96.5,-13.75,-16.98,-15.365,0,88.9
SNTL,AK,kenai moose pens,Upper Moose River (190203021601),1982-10-01,2024-05-02,60.73,-150.48,91,Kenai Peninsula,966,2010,1,8,8,2010-01-08,43.2,121.9,-2.2,-12.9,-8.3,0,30,-9.73,-16.99,0,-13.36,44.2,43.2,-6.06,-13.45,-9.755,0,121.9
SNTL,AK,anchor river divide,Headwaters Anchor River (190203010701),1980-10-01,2024-05-02,59.86,-151.32,504,Kenai Peninsula,1062,2010,1,8,8,2010-01-08,223.5,304.8,3.9,-3.7,-0.9,0,30,0.52,-5.8,3.35,-2.6399999999999997,224.5,223.5,1.78,-2.21,-0.21499999999999997,0,304.8
SNTL,AK,munson ridge,Rock Creek-Chena River (190803060602),1979-10-01,2024-05-02,64.85,-146.21,945,Fairbanks North Star,950,2010,1,9,9,2010-01-09,96.5,88.9,-21.7,-28.5,-24.4,0,30,-4.64,-11.35,0,-7.994999999999999,97.5,96.5,-9.1,-17.14,-13.12,0,88.9
SNTL,AK,kenai moose pens,Upper Moose River (190203021601),1982-10-01,2024-05-02,60.73,-150.48,91,Kenai Peninsula,966,2010,1,9,9,2010-01-09,43.2,121.9,-3.2,-11.4,-6.9,0,30,-10,-20.84,0,-15.42,44.2,43.2,-9.73,-16.99,-13.36,0,121.9
SNTL,AK,anchor river divide,Headwaters Anchor River (190203010701),1980-10-01,2024-05-02,59.86,-151.32,504,Kenai Peninsula,1062,2010,1,9,9,2010-01-09,223.5,304.8,2.8,-3.1,0.2,0,30,-2.55,-5.38,2.75,-3.965,224.5,223.5,0.52,-5.8,-2.6399999999999997,3.35,304.8
SNTL,AK,munson ridge,Rock Creek-Chena River (190803060602),1979-10-01,2024-05-02,64.85,-146.21,945,Fairbanks North Star,950,2010,1,10,10,2010-01-10,96.5,88.9,-28.3,-30.5,-29.6,0,30,-4.67,-12.37,0,-8.52,97.5,96.5,-4.64,-11.35,-7.994999999999999,0,88.9
SNTL,AK,kenai moose pens,Upper Moose River (190203021601),1982-10-01,2024-05-02,60.73,-150.48,91,Kenai Peninsula,966,2010,1,10,10,2010-01-10,43.2,121.9,-4.9,-13.9,-9.1,0,30,-10.7,-13.55,0,-12.125,44.2,43.2,-10,-20.84,-15.42,0,121.9
SNTL,AK,anchor river divide,Headwaters Anchor River (190203010701),1980-10-01,2024-05-02,59.86,-151.32,504,Kenai Peninsula,1062,2010,1,10,10,2010-01-10,223.5,304.8,-0.9,-10.9,-5,0,30,-3.02,-8.39,1.96,-5.705,224.5,223.5,-2.55,-5.38,-3.965,2.75,304.8
SNTL,AK,munson ridge,Rock Creek-Chena River (190803060602),1979-10-01,2024-05-02,64.85,-146.21,945,Fairbanks North Star,950,2010,1,11,11,2010-01-11,96.5,88.9,-29,-31.6,-30.6,0,30,-8.41,-17.63,0,-13.02,97.5,96.5,-4.67,-12.37,-8.52,0,88.9
SNTL,AK,kenai moose pens,Upper Moose River (190203021601),1982-10-01,2024-05-02,60.73,-150.48,91,Kenai Peninsula,966,2010,1,11,11,2010-01-11,43.2,121.9,-8,-22.1,-12.4,0,30,-2.95,-11.26,0,-7.105,44.2,43.2,-10.7,-13.55,-12.125,0,121.9
SNTL,AK,anchor river divide,Headwaters Anchor River (190203010701),1980-10-01,2024-05-02,59.86,-151.32,504,Kenai Peninsula,1062,2010,1,11,11,2010-01-11,223.5,304.8,-10.8,-15.4,-13,0,30,-5.24,-11.55,0,-8.395,224.5,223.5,-3.02,-8.39,-5.705,1.96,304.8
SNTL,AK,munson ridge,Rock Creek-Chena River (190803060602),1979-10-01,2024-05-02,64.85,-146.21,945,Fairbanks North Star,950,2010,1,12,12,2010-01-12,96.5,88.9,-26.1,-30,-28.6,0,30,-15.33,-22.76,0,-19.045,97.5,96.5,-8.41,-17.63,-13.02,0,88.9
SNTL,AK,kenai moose pens,Upper Moose River (190203021601),1982-10-01,2024-05-02,60.73,-150.48,91,Kenai Peninsula,966,2010,1,12,12,2010-01-12,43.2,121.9,-7.4,-9.8,-8.5,5.1,30,1.22,-3.55,0,-1.165,44.2,43.2,-2.95,-11.26,-7.105,0,121.9
SNTL,AK,anchor river divide,Headwaters Anchor River (190203010701),1980-10-01,2024-05-02,59.86,-151.32,504,Kenai Peninsula,1062,2010,1,12,12,2010-01-12,223.5,304.8,-6,-14.8,-11.1,0,30,-4.12,-10.77,5.59,-7.445,224.5,223.5,-5.24,-11.55,-8.395,0,304.8
SNTL,AK,munson ridge,Rock Creek-Chena River (190803060602),1979-10-01,2024-05-02,64.85,-146.21,945,Fairbanks North Star,950,2010,1,13,13,2010-01-13,96.5,88.9,-18.9,-29,-23.6,0,30,-16.14,-24.3,0,-20.22,97.5,96.5,-15.33,-22.76,-19.045,0,88.9
SNTL,AK,kenai moose pens,Upper Moose River (190203021601),1982-10-01,2024-05-02,60.73,-150.48,91,Kenai Peninsula,966,2010,1,13,13,2010-01-13,43.2,127,-6.8,-15.6,-9.4,0,30,4.14,-1.42,3.64,1.36,44.2,43.2,1.22,-3.55,-1.165,0,121.9
SNTL,AK,anchor river divide,Headwaters Anchor River (190203010701),1980-10-01,2024-05-02,59.86,-151.32,504,Kenai Peninsula,1062,2010,1,13,13,2010-01-13,228.6,304.8,0.4,-11.3,-5.7,0,30,-2.31,-8.82,5.17,-5.565,229.6,223.5,-4.12,-10.77,-7.445,5.59,304.8
SNTL,AK,munson ridge,Rock Creek-Chena River (190803060602),1979-10-01,2024-05-02,64.85,-146.21,945,Fairbanks North Star,950,2010,1,14,14,2010-01-14,96.5,88.9,-18.3,-21.8,-19.9,0,30,-21.27,-26.91,0,-24.09,97.5,96.5,-16.14,-24.3,-20.22,0,88.9
SNTL,AK,kenai moose pens,Upper Moose River (190203021601),1982-10-01,2024-05-02,60.73,-150.48,91,Kenai Peninsula,966,2010,1,14,14,2010-01-14,43.2,127,-5.6,-9.4,-7.4,2.5,30,5.31,-2.62,0,1.3449999999999998,44.2,43.2,4.14,-1.42,1.36,3.64,127
SNTL,AK,anchor river divide,Headwaters Anchor River (190203010701),1980-10-01,2024-05-02,59.86,-151.32,504,Kenai Peninsula,1062,2010,1,14,14,2010-01-14,228.6,304.8,0.5,-5.9,-3.7,0,30,-0.4,-6.51,9.81,-3.455,229.6,228.6,-2.31,-8.82,-5.565,5.17,304.8
SNTL,AK,munson ridge,Rock Creek-Chena River (190803060602),1979-10-01,2024-05-02,64.85,-146.21,945,Fairbanks North Star,950,2010,1,15,15,2010-01-15,96.5,88.9,-20.5,-25.9,-23.5,0,30,-20.92,-27.45,0,-24.185,97.5,96.5,-21.27,-26.91,-24.09,0,88.9
SNTL,AK,kenai moose pens,Upper Moose River (190203021601),1982-10-01,2024-05-02,60.73,-150.48,91,Kenai Peninsula,966,2010,1,15,15,2010-01-15,43.2,129.5,-5,-10.1,-6.6,0,30,-0.62,-6,0,-3.31,44.2,43.2,5.31,-2.62,1.3449999999999998,0,127
SNTL,AK,anchor river divide,Headwaters Anchor River (190203010701),1980-10-01,2024-05-02,59.86,-151.32,504,Kenai Peninsula,1062,2010,1,15,15,2010-01-15,228.6,304.8,0.3,-8.1,-4.4,0,30,1.74,-5.74,4.43,-2,229.6,228.6,-0.4,-6.51,-3.455,9.81,304.8
SNTL,AK,munson ridge,Rock Creek-Chena River (190803060602),1979-10-01,2024-05-02,64.85,-146.21,945,Fairbanks North Star,950,2010,1,16,16,2010-01-16,96.5,88.9,-21.5,-25.8,-23.9,0,30,-20.63,-28.06,0,-24.345,97.5,96.5,-20.92,-27.45,-24.185,0,88.9
SNTL,AK,kenai moose pens,Upper Moose River (190203021601),1982-10-01,2024-05-02,60.73,-150.48,91,Kenai Peninsula,966,2010,1,16,16,2010-01-16,43.2,129.5,-3.9,-12.4,-6.3,0,30,5.18,-2.9,0,1.14,44.2,43.2,-0.62,-6,-3.31,0,129.5
SNTL,AK,anchor river divide,Headwaters Anchor River (190203010701),1980-10-01,2024-05-02,59.86,-151.32,504,Kenai Peninsula,1062,2010,1,16,16,2010-01-16,228.6,304.8,-3.4,-6.8,-5.1,0,30,4.69,-5.32,2.31,-0.31499999999999995,229.6,228.6,1.74,-5.74,-2,4.43,304.8
SNTL,AK,munson ridge,Rock Creek-Chena River (190803060602),1979-10-01,2024-05-02,64.85,-146.21,945,Fairbanks North Star,950,2010,1,17,17,2010-01-17,96.5,88.9,-14.7,-21.4,-18.4,0,30,-22.41,-30.53,0,-26.47,97.5,96.5,-20.63,-28.06,-24.345,0,88.9
SNTL,AK,kenai moose pens,Upper Moose River (190203021601),1982-10-01,2024-05-02,60.73,-150.48,91,Kenai Peninsula,966,2010,1,17,17,2010-01-17,43.2,129.5,-4.4,-12.3,-6.2,0,30,4.68,-4.21,0,0.23499999999999988,44.2,43.2,5.18,-2.9,1.14,0,129.5
SNTL,AK,anchor river divide,Headwaters Anchor River (190203010701),1980-10-01,2024-05-02,59.86,-151.32,504,Kenai Peninsula,1062,2010,1,17,17,2010-01-17,228.6,304.8,0.3,-5.6,-3,0,30,5.71,0.05,35.15,2.88,229.6,228.6,4.69,-5.32,-0.31499999999999995,2.31,304.8
SNTL,AK,munson ridge,Rock Creek-Chena River (190803060602),1979-10-01,2024-05-02,64.85,-146.21,945,Fairbanks North Star,950,2010,1,18,18,2010-01-18,96.5,88.9,-9.9,-15,-12.4,2.5,30,-22.62,-31.79,0,-27.205,97.5,96.5,-22.41,-30.53,-26.47,0,88.9
SNTL,AK,kenai moose pens,Upper Moose River (190203021601),1982-10-01,2024-05-02,60.73,-150.48,91,Kenai Peninsula,966,2010,1,18,18,2010-01-18,43.2,129.5,-2.2,-5.3,-3.9,2.5,30,-2.06,-7.75,2.13,-4.905,44.2,43.2,4.68,-4.21,0.23499999999999988,0,129.5
SNTL,AK,anchor river divide,Headwaters Anchor River (190203010701),1980-10-01,2024-05-02,59.86,-151.32,504,Kenai Peninsula,1062,2010,1,18,18,2010-01-18,228.6,304.8,-1.3,-8.2,-4.2,0,30,1.53,-5.83,2.98,-2.15,229.6,228.6,5.71,0.05,2.88,35.15,304.8
SNTL,AK,munson ridge,Rock Creek-Chena River (190803060602),1979-10-01,2024-05-02,64.85,-146.21,945,Fairbanks North Star,950,2010,1,19,19,2010-01-19,96.5,91.4,-10.4,-14.6,-12.6,0,30,-23.63,-31,0,-27.315,97.5,96.5,-22.62,-31.79,-27.205,0,88.9
SNTL,AK,kenai moose pens,Upper Moose River (190203021601),1982-10-01,2024-05-02,60.73,-150.48,91,Kenai Peninsula,966,2010,1,19,19,2010-01-19,45.7,132.1,-4.2,-12.3,-7.4,0,30,-2.96,-11.42,0,-7.1899999999999995,46.7,43.2,-2.06,-7.75,-4.905,2.13,129.5
SNTL,AK,anchor river divide,Headwaters Anchor River (190203010701),1980-10-01,2024-05-02,59.86,-151.32,504,Kenai Peninsula,1062,2010,1,19,19,2010-01-19,228.6,304.8,-0.3,-8.2,-3.9,0,30,1.82,-5.68,2.9,-1.9299999999999995,229.6,228.6,1.53,-5.83,-2.15,2.98,304.8
SNTL,AK,munson ridge,Rock Creek-Chena River (190803060602),1979-10-01,2024-05-02,64.85,-146.21,945,Fairbanks North Star,950,2010,1,20,20,2010-01-20,96.5,91.4,-9.7,-14.7,-11.9,0,30,-27.77,-31.73,0,-29.75,97.5,96.5,-23.63,-31,-27.315,0,91.4
SNTL,AK,kenai moose pens,Upper Moose River (190203021601),1982-10-01,2024-05-02,60.73,-150.48,91,Kenai Peninsula,966,2010,1,20,20,2010-01-20,45.7,132.1,-7.4,-19.1,-12,0,30,-7.61,-16.37,0,-11.99,46.7,45.7,-2.96,-11.42,-7.1899999999999995,0,132.1
SNTL,AK,anchor river divide,Headwaters Anchor River (190203010701),1980-10-01,2024-05-02,59.86,-151.32,504,Kenai Peninsula,1062,2010,1,20,20,2010-01-20,228.6,304.8,3.1,-8.9,-4.3,0,30,5.45,0.94,5.32,3.1950000000000003,229.6,228.6,1.82,-5.68,-1.9299999999999995,2.9,304.8
SNTL,AK,munson ridge,Rock Creek-Chena River (190803060602),1979-10-01,2024-05-02,64.85,-146.21,945,Fairbanks North Star,950,2010,1,21,21,2010-01-21,96.5,91.4,-11.7,-23,-17.8,0,30,-21.14,-30.43,0,-25.785,97.5,96.5,-27.77,-31.73,-29.75,0,91.4
SNTL,AK,kenai moose pens,Upper Moose River (190203021601),1982-10-01,2024-05-02,60.73,-150.48,91,Kenai Peninsula,966,2010,1,21,21,2010-01-21,45.7,132.1,-12.3,-21.4,-18.5,0,30,-9.69,-18.2,2.01,-13.945,46.7,45.7,-7.61,-16.37,-11.99,0,132.1
SNTL,AK,anchor river divide,Headwaters Anchor River (190203010701),1980-10-01,2024-05-02,59.86,-151.32,504,Kenai Peninsula,1062,2010,1,21,21,2010-01-21,228.6,304.8,-3.4,-11.7,-7.8,0,30,4.67,-1.64,3.39,1.515,229.6,228.6,5.45,0.94,3.1950000000000003,5.32,304.8
SNTL,AK,munson ridge,Rock Creek-Chena River (190803060602),1979-10-01,2024-05-02,64.85,-146.21,945,Fairbanks North Star,950,2010,1,22,22,2010-01-22,96.5,91.4,-16.5,-21.9,-18.6,0,30,-20.35,-35.07,0,-27.71,97.5,96.5,-21.14,-30.43,-25.785,0,91.4
SNTL,AK,kenai moose pens,Upper Moose River (190203021601),1982-10-01,2024-05-02,60.73,-150.48,91,Kenai Peninsula,966,2010,1,22,22,2010-01-22,45.7,132.1,-10.3,-19.9,-15.9,0,30,-7.83,-14.6,0,-11.215,46.7,45.7,-9.69,-18.2,-13.945,2.01,132.1
SNTL,AK,anchor river divide,Headwaters Anchor River (190203010701),1980-10-01,2024-05-02,59.86,-151.32,504,Kenai Peninsula,1062,2010,1,22,22,2010-01-22,228.6,304.8,-2.1,-11.5,-7.3,0,30,5.41,-0.6,6.11,2.405,229.6,228.6,4.67,-1.64,1.515,3.39,304.8
SNTL,AK,munson ridge,Rock Creek-Chena River (190803060602),1979-10-01,2024-05-02,64.85,-146.21,945,Fairbanks North Star,950,2010,1,23,23,2010-01-23,96.5,91.4,-9.4,-18.2,-13.9,2.5,30,-21.03,-36.13,0,-28.58,97.5,96.5,-20.35,-35.07,-27.71,0,91.4
SNTL,AK,kenai moose pens,Upper Moose River (190203021601),1982-10-01,2024-05-02,60.73,-150.48,91,Kenai Peninsula,966,2010,1,23,23,2010-01-23,45.7,132.1,-11.1,-22.1,-18.5,0,30,-8,-11.35,2.81,-9.675,46.7,45.7,-7.83,-14.6,-11.215,0,132.1
SNTL,AK,anchor river divide,Headwaters Anchor River (190203010701),1980-10-01,2024-05-02,59.86,-151.32,504,Kenai Peninsula,1062,2010,1,23,23,2010-01-23,228.6,304.8,2.6,-11.3,-5.8,0,30,6.01,1.13,4.31,3.57,229.6,228.6,5.41,-0.6,2.405,6.11,304.8
SNTL,AK,munson ridge,Rock Creek-Chena River (190803060602),1979-10-01,2024-05-02,64.85,-146.21,945,Fairbanks North Star,950,2010,1,24,24,2010-01-24,96.5,94,-7.7,-10.8,-9.1,0,30,-14.84,-22.98,0,-18.91,97.5,96.5,-21.03,-36.13,-28.58,0,91.4
SNTL,AK,kenai moose pens,Upper Moose River (190203021601),1982-10-01,2024-05-02,60.73,-150.48,91,Kenai Peninsula,966,2010,1,24,24,2010-01-24,45.7,132.1,-6.7,-20.3,-13.7,0,30,-10.95,-22.11,0,-16.53,46.7,45.7,-8,-11.35,-9.675,2.81,132.1
SNTL,AK,anchor river divide,Headwaters Anchor River (190203010701),1980-10-01,2024-05-02,59.86,-151.32,504,Kenai Peninsula,1062,2010,1,24,24,2010-01-24,228.6,304.8,2.7,-6.9,-2.9,0,30,7.28,0.99,4.83,4.135,229.6,228.6,6.01,1.13,3.57,4.31,304.8
SNTL,AK,munson ridge,Rock Creek-Chena River (190803060602),1979-10-01,2024-05-02,64.85,-146.21,945,Fairbanks North Star,950,2010,1,25,25,2010-01-25,96.5,94,-10.1,-14.6,-11.5,0,30,-9,-19.12,2.5,-14.06,97.5,96.5,-14.84,-22.98,-18.91,0,94
SNTL,AK,kenai moose pens,Upper Moose River (190203021601),1982-10-01,2024-05-02,60.73,-150.48,91,Kenai Peninsula,966,2010,1,25,25,2010-01-25,45.7,132.1,-12.2,-21.3,-17.6,0,30,-14.16,-22.95,2.24,-18.555,46.7,45.7,-10.95,-22.11,-16.53,0,132.1
SNTL,AK,anchor river divide,Headwaters Anchor River (190203010701),1980-10-01,2024-05-02,59.86,-151.32,504,Kenai Peninsula,1062,2010,1,25,25,2010-01-25,228.6,304.8,-3.2,-9.2,-6.3,0,30,8.05,2.12,0,5.085000000000001,229.6,228.6,7.28,0.99,4.135,4.83,304.8
SNTL,AK,munson ridge,Rock Creek-Chena River (190803060602),1979-10-01,2024-05-02,64.85,-146.21,945,Fairbanks North Star,950,2010,1,26,26,2010-01-26,96.5,94,-12.1,-15.9,-14.3,0,30,-10.18,-17.86,0,-14.02,97.5,96.5,-9,-19.12,-14.06,2.5,94
SNTL,AK,kenai moose pens,Upper Moose River (190203021601),1982-10-01,2024-05-02,60.73,-150.48,91,Kenai Peninsula,966,2010,1,26,26,2010-01-26,45.7,132.1,-6.6,-17.1,-11,0,30,-7.97,-16.16,0,-12.065,46.7,45.7,-14.16,-22.95,-18.555,2.24,132.1
SNTL,AK,anchor river divide,Headwaters Anchor River (190203010701),1980-10-01,2024-05-02,59.86,-151.32,504,Kenai Peninsula,1062,2010,1,26,26,2010-01-26,228.6,304.8,0,-6.4,-3,2.5,30,8.23,2.63,2.77,5.43,229.6,228.6,8.05,2.12,5.085000000000001,0,304.8
SNTL,AK,munson ridge,Rock Creek-Chena River (190803060602),1979-10-01,2024-05-02,64.85,-146.21,945,Fairbanks North Star,950,2010,1,27,27,2010-01-27,96.5,94,-14.2,-16.7,-15.4,0,30,-11.54,-19.16,0,-15.35,97.5,96.5,-10.18,-17.86,-14.02,0,94
SNTL,AK,kenai moose pens,Upper Moose River (190203021601),1982-10-01,2024-05-02,60.73,-150.48,91,Kenai Peninsula,966,2010,1,27,27,2010-01-27,45.7,132.1,-3.6,-16.8,-8.7,0,30,-8.17,-17.91,0,-13.04,46.7,45.7,-7.97,-16.16,-12.065,0,132.1
SNTL,AK,anchor river divide,Headwaters Anchor River (190203010701),1980-10-01,2024-05-02,59.86,-151.32,504,Kenai Peninsula,1062,2010,1,27,27,2010-01-27,228.6,307.3,0.1,-7.8,-2.5,0,30,9.79,2.12,5.71,5.955,229.6,228.6,8.23,2.63,5.43,2.77,304.8
SNTL,AK,munson ridge,Rock Creek-Chena River (190803060602),1979-10-01,2024-05-02,64.85,-146.21,945,Fairbanks North Star,950,2010,1,28,28,2010-01-28,96.5,94,-12.6,-17.2,-14.6,0,30,-10.43,-17.64,0,-14.035,97.5,96.5,-11.54,-19.16,-15.35,0,94
SNTL,AK,kenai moose pens,Upper Moose River (190203021601),1982-10-01,2024-05-02,60.73,-150.48,91,Kenai Peninsula,966,2010,1,28,28,2010-01-28,45.7,132.1,1,-4.2,-1.5,0,30,-9.05,-21.67,0,-15.36,46.7,45.7,-8.17,-17.91,-13.04,0,132.1
SNTL,AK,anchor river divide,Headwaters Anchor River (190203010701),1980-10-01,2024-05-02,59.86,-151.32,504,Kenai Peninsula,1062,2010,1,28,28,2010-01-28,228.6,307.3,3.7,-1.9,0.3,0,30,3.68,-0.67,0,1.505,229.6,228.6,9.79,2.12,5.955,5.71,307.3
SNTL,AK,munson ridge,Rock Creek-Chena River (190803060602),1979-10-01,2024-05-02,64.85,-146.21,945,Fairbanks North Star,950,2010,1,30,30,2010-01-30,96.5,94,-7.8,-14.2,-10.3,0,30,-7.89,-14.04,0,-10.965,97.5,96.5,-10.43,-17.64,-14.035,0,94
SNTL,AK,kenai moose pens,Upper Moose River (190203021601),1982-10-01,2024-05-02,60.73,-150.48,91,Kenai Peninsula,966,2010,1,30,30,2010-01-30,45.7,132.1,-2.9,-13.2,-8.2,0,30,-7.4,-20.15,0,-13.775,46.7,45.7,-9.05,-21.67,-15.36,0,132.1
SNTL,AK,anchor river divide,Headwaters Anchor River (190203010701),1980-10-01,2024-05-02,59.86,-151.32,504,Kenai Peninsula,1062,2010,1,30,30,2010-01-30,228.6,309.9,6.6,-4.8,-1,0,30,3.28,-4.19,0,-0.4550000000000003,229.6,228.6,3.68,-0.67,1.505,0,307.3
SNTL,AK,munson ridge,Rock Creek-Chena River (190803060602),1979-10-01,2024-05-02,64.85,-146.21,945,Fairbanks North Star,950,2010,1,31,31,2010-01-31,96.5,94,-9.4,-12.9,-11.5,0,30,-4.04,-14.5,0,-9.27,97.5,96.5,-7.89,-14.04,-10.965,0,94
SNTL,AK,kenai moose pens,Upper Moose River (190203021601),1982-10-01,2024-05-02,60.73,-150.48,91,Kenai Peninsula,966,2010,1,31,31,2010-01-31,45.7,132.1,-5,-15.9,-10.4,0,30,-6.12,-18,0,-12.06,46.7,45.7,-7.4,-20.15,-13.775,0,132.1
